Anzahl Module;Lynx Home F Plus+ LX F6.6-H Serie Speicherturm;Lynx Home F Plus+ LX F9.8-H Serie Speicherturm;Lynx Home F Plus+ LX F13.1-H Serie Speicherturm;Lynx Home F Plus+ LX F16.4-H Serie Speicherturm;Lynx Big-Battery GW60KW-D-10C Serie;PowerOcean LiFePO4 5,1 kWh Speicherturm;PowerOcean LiFePO4 10,2 kWh Speicherturm;PowerOcean LiFePO4 15,3 kWh Speicherturm;Vitocharge VX3 A5 5,0 kWh Speicherturm;Vitocharge VX3 A10 10,0 kWh Speicherturm;Vitocharge VX3 A15 15,0 kWh Speicherturm;SBH-100 10 kWh LiFePO4 Stromspeicher;SBH-150 15 kWh LiFePO4 Stromspeicher;SBH-200 20 kWh LiFePO4 Stromspeicher;SBH-250 25 kWh LiFePO4 Stromspeicher;SBH-300 30 kWh LiFePO4 Stromspeicher;SBH-350 35 kWh LiFePO4 Stromspeicher;SBH-400 40 kWh LiFePO4 Stromspeicher;LUNA2000-5-SO 5 kWh Stromspeicher;LUNA2000-10-SO 10 kWh Stromspeicher;LUNA2000-15-SO 15 kWh Stromspeicher;LUNA2000-20-SO 20 kWh Stromspeicher;LUNA2000-25-SO 25 kWh Stromspeicher;LUNA2000-30-SO 30 kWh Stromspeicher;ECS4100 -H2 8,06 kWh Stromspeicher;ECS4100 -H3 12,09 kWh Stromspeicher;ECS4100 -H4 16,12 kWh Stromspeicher;ECS4100 -H5 20,15 kWh Stromspeicher;ECS4100 -H6 24,18 kWh Stromspeicher;ECS4100 -H7 28,21 kWh Stromspeicher;LUNA2000-7-S1-7kWh Stromspeicher;LUNA2000-14-S1-14kWh Stromspeicher;LUNA2000-21-S1-21kWh Stromspeicher;Storion SMILE-G3-T10 3,65 kWh;Storion SMILE-G3-T10 7,30 kWh;Storion SMILE-G3-T10 10,95 kWh;Storion SMILE-G3-T10 14,60 kWh;Storion SMILE-G3-T10 18,25 kWh;Storion SMILE-G3-T10 21,90 kWh;Ohne Speicher
7,00;13711,80;14311,80;14911,80;15511,80;23911,80;15100,00;17600,00;20100,00;14211,80;16911,80;19611,80;14161,80;16061,80;17961,80;19861,80;21761,80;23661,80;25561,80;16011,80;18311,80;20611,80;22911,80;25211,80;27511,80;15411,80;17111,80;18811,80;20511,80;22211,80;23911,80;18311,80;21211,80;24111,80;14501,00;15687,85;16874,70;18061,55;19248,40;20435,25;10711,80
8,00;13911,80;14511,80;15111,80;15711,80;24111,80;15480,00;17980,00;20480,00;14411,80;17111,80;19811,80;14361,80;16261,80;18161,80;20061,80;21961,80;23861,80;25761,80;16211,80;18511,80;20811,80;23111,80;25411,80;27711,80;15611,80;17311,80;19011,80;20711,80;22411,80;24111,80;18511,80;21411,80;24311,80;14857,00;16043,85;17230,70;18417,55;19604,40;20791,25;10911,80
9,00;14111,80;14711,80;15311,80;15911,80;24311,80;15860,00;18360,00;20860,00;14911,80;17611,80;20311,80;14561,80;16461,80;18361,80;20261,80;22161,80;24061,80;25961,80;16411,80;18711,80;21011,80;23311,80;25611,80;27911,80;15811,80;17511,80;19211,80;20911,80;22611,80;24311,80;18711,80;21611,80;24511,80;15213,00;16399,85;17586,70;18773,55;19960,40;21147,25;11111,80
10,00;14311,80;14911,80;15511,80;16111,80;24511,80;16240,00;18740,00;21240,00;15111,80;17811,80;20511,80;14761,80;16661,80;18561,80;20461,80;22361,80;24261,80;26161,80;16611,80;18911,80;21211,80;23511,80;25811,80;28111,80;16011,80;17711,80;19411,80;21111,80;22811,80;24511,80;18911,80;21811,80;24711,80;15569,00;16755,85;17942,70;19129,55;20316,40;21503,25;11311,80
11,00;14511,80;15111,80;15711,80;16311,80;24711,80;16620,00;19120,00;21620,00;15311,80;18011,80;20711,80;14961,80;16861,80;18761,80;20661,80;22561,80;24461,80;26361,80;16811,80;19111,80;21411,80;23711,80;26011,80;28311,80;16211,80;17911,80;19611,80;21311,80;23011,80;24711,80;19111,80;22011,80;24911,80;15946,00;17132,85;18319,70;19506,55;20693,40;21880,25;11511,80
12,00;14711,80;15311,80;15911,80;16511,80;24911,80;17000,00;19500,00;22000,00;15811,80;18511,80;21211,80;15161,80;17061,80;18961,80;20861,80;22761,80;24661,80;26561,80;17011,80;19311,80;21611,80;23911,80;26211,80;28511,80;16411,80;18111,80;19811,80;21511,80;23211,80;24911,80;19311,80;22211,80;25111,80;16112,00;17298,85;18485,70;19672,55;20859,40;22046,25;11711,80
13,00;14942,50;15542,50;16142,50;16742,50;25142,50;17380,00;19880,00;22380,00;16011,80;18711,80;21411,80;15392,50;17292,50;19192,50;21092,50;22992,50;24892,50;26792,50;17242,50;19542,50;21842,50;24142,50;26442,50;28742,50;16642,50;18342,50;20042,50;21742,50;23442,50;25142,50;19542,50;22442,50;25342,50;16468,00;17654,85;18841,70;20028,55;21215,40;22402,25;11942,50
14,00;15142,50;15742,50;16342,50;16942,50;25342,50;17760,00;20260,00;22760,00;16211,80;18911,80;21611,80;15592,50;17492,50;19392,50;21292,50;23192,50;25092,50;26992,50;17442,50;19742,50;22042,50;24342,50;26642,50;28942,50;16842,50;18542,50;20242,50;21942,50;23642,50;25342,50;19742,50;22642,50;25542,50;16824,00;18010,85;19197,70;20384,55;21571,40;22758,25;12142,50
15,00;15842,50;16442,50;17042,50;17642,50;26042,50;18140,00;20640,00;23140,00;16711,80;19411,80;22111,80;15792,50;17692,50;19592,50;21492,50;23392,50;25292,50;27192,50;18142,50;20442,50;22742,50;25042,50;27342,50;29642,50;17542,50;19242,50;20942,50;22642,50;24342,50;26042,50;20442,50;23342,50;26242,50;17180,00;18366,85;19553,70;20740,55;21927,40;23114,25;12842,50
16,00;16042,50;16642,50;17242,50;17842,50;26242,50;18520,00;21020,00;23520,00;16936,80;19636,80;22336,80;15992,50;17892,50;19792,50;21692,50;23592,50;25492,50;27392,50;18342,50;20642,50;22942,50;25242,50;27542,50;29842,50;17742,50;19442,50;21142,50;22842,50;24542,50;26242,50;20642,50;23542,50;26442,50;17512,00;18698,85;19885,70;21072,55;22259,40;23446,25;13042,50
17,00;16255,30;16855,30;17455,30;18055,30;26455,30;19400,00;21900,00;24400,00;17241,80;19941,80;22641,80;16505,50;18405,50;20305,50;22205,50;24105,50;26005,50;27905,50;18555,30;20855,30;23155,30;25455,30;27755,30;30055,30;17955,30;19655,30;21355,30;23055,30;24755,30;26455,30;20855,30;23755,30;26655,30;17868,00;19054,85;20241,70;21428,55;22615,40;23802,25;13255,30
18,00;16455,30;17055,30;17655,30;18255,30;26655,30;19780,00;22280,00;24780,00;17546,80;20246,80;22946,80;16905,30;18805,30;20705,30;22605,30;24505,30;26405,30;28305,30;18755,30;21055,30;23355,30;25655,30;27955,30;30255,30;18155,30;19855,30;21555,30;23255,30;24955,30;26655,30;21055,30;23955,30;26855,30;18224,00;19410,85;20597,70;21784,55;22971,40;24158,25;13455,30
19,00;16655,30;17255,30;17855,30;18455,30;26855,30;20160,00;22660,00;25160,00;17851,80;20551,80;23251,80;17105,30;19005,30;20905,30;22805,30;24705,30;26605,30;28505,30;18955,30;21255,30;23555,30;25855,30;28155,30;30455,30;18355,30;20055,30;21755,30;23455,30;25155,30;26855,30;21255,30;24155,30;27055,30;18580,00;19766,85;20953,70;22140,55;23327,40;24514,25;13655,30
