formula_normalized,count,functions,examples
"YEAR(Rohdaten[[#ThisRow],[Anlage:Tag]])",1978,YEAR,Rohdaten!G3; Rohdaten!G4; Rohdaten!G5; Rohdaten!G6; Rohdaten!G7
"TEXT(Rohdaten[[#ThisRow],[Anlage:Tag]],""MM-MMM"")",1978,TEXT,Rohdaten!H3; Rohdaten!H4; Rohdaten!H5; Rohdaten!H6; Rohdaten!H7
"TEXT(Rohdaten[[#ThisRow],[Anlage:Tag]],""JJJJ-MM"")",1978,TEXT,Rohdaten!I3; Rohdaten!I4; Rohdaten!I5; Rohdaten!I6; Rohdaten!I7
"MAX(IF(Anbieter[Vertragsbeginn]<=Rohdaten[[#ThisRow],[Anlage:Tag]],Anbieter[Vertragsbeginn],0))",1978,"IF, MAX",Rohdaten!J3; Rohdaten!J4; Rohdaten!J5; Rohdaten!J6; Rohdaten!J7
"VLOOKUP(Rohdaten[[#ThisRow],[Helfer:Vertrags-Beginn]],Anbieter[#Data],2,FALSE)",1978,VLOOKUP,Rohdaten!K3; Rohdaten!K4; Rohdaten!K5; Rohdaten!K6; Rohdaten!K7
"-VLOOKUP(Rohdaten[[#ThisRow],[Helfer:Vertrags-Beginn]],Anbieter[#Data],4,FALSE)/COUNTIF(Rohdaten[Helfer:JahrMonat],Rohdaten[[#ThisRow],[Helfer:JahrMonat]])",1978,"COUNTIF, VLOOKUP",Rohdaten!L3; Rohdaten!L4; Rohdaten!L5; Rohdaten!L6; Rohdaten!L7
"Rohdaten[[#ThisRow],[Anlage:EnergievomNetzbezogen]]/1000",1978,,Rohdaten!M3; Rohdaten!M4; Rohdaten!M5; Rohdaten!M6; Rohdaten!M7
"Rohdaten[[#ThisRow],[Bezug]]*-VLOOKUP(Rohdaten[[#ThisRow],[Helfer:Vertrags-Beginn]],Anbieter[#Data],3,FALSE)+Rohdaten[[#ThisRow],[GrundpreisproTagumgelegt]]",1978,VLOOKUP,Rohdaten!N3; Rohdaten!N4; Rohdaten!N5; Rohdaten!N6; Rohdaten!N7
"Rohdaten[[#ThisRow],[Anlage:EnergieinsNetzeingespeist]]/1000",1978,,Rohdaten!O3; Rohdaten!O4; Rohdaten!O5; Rohdaten!O6; Rohdaten!O7
"Rohdaten[[#ThisRow],[Einspeisung]]*VLOOKUP(Rohdaten[[#ThisRow],[Helfer:Vertrags-Beginn]],Anbieter[#Data],5,FALSE)",1978,VLOOKUP,Rohdaten!P3; Rohdaten!P4; Rohdaten!P5; Rohdaten!P6; Rohdaten!P7
"Rohdaten[[#ThisRow],[GespartdurchProduktion]]+Rohdaten[[#ThisRow],[Vergütung]]",1978,,Rohdaten!Q3; Rohdaten!Q4; Rohdaten!Q5; Rohdaten!Q6; Rohdaten!Q7
"Rohdaten[[#ThisRow],[Anlage:Eigenverbrauch]]/1000",1978,,Rohdaten!R3; Rohdaten!R4; Rohdaten!R5; Rohdaten!R6; Rohdaten!R7
"Rohdaten[[#ThisRow],[Eigenverbr.]]*VLOOKUP(Rohdaten[[#ThisRow],[Helfer:Vertrags-Beginn]],Anbieter[#Data],3,FALSE)",1978,VLOOKUP,Rohdaten!S3; Rohdaten!S4; Rohdaten!S5; Rohdaten!S6; Rohdaten!S7
"Rohdaten[[#ThisRow],[Anlage:GesamtErzeugung]]/1000",1978,,Rohdaten!T3; Rohdaten!T4; Rohdaten!T5; Rohdaten!T6; Rohdaten!T7
"IFERROR(Rohdaten[[#ThisRow],[Eigenverbr.]]/Rohdaten[[#ThisRow],[GesamteErzeugung]],0)",1978,IFERROR,Rohdaten!U3; Rohdaten!U4; Rohdaten!U5; Rohdaten!U6; Rohdaten!U7
Berrechnungen!J71,366,,Rekenblad!AU2; Rekenblad!AV2; Rekenblad!AU3; Rekenblad!AU4; Rekenblad!AU5
