excel_function,formula_patterns_using_it
IF,9312
INDEX,8941
SUMIF,2001
SUM,1427
ROUND,1079
AND,832
ROUNDDOWN,605
MIN,474
SUMPRODUCT,440
DATE,342
MOD,335
COUNTIF,318
VLOOKUP,269
MONTH,200
DAY,192
TIME,138
WEEKDAY,137
HOUR,137
HLOOKUP,89
AVERAGE,86
YEAR,70
LOOKUP,63
TODAY,61
IFERROR,52
OR,40
MATCH,31
TEXT,28
OFFSET,25
ROUNDUP,25
MAX,24
EOMONTH,22
ADDRESS,13
INDIRECT,13
SUMIFS,12
PI,9
COUNT,9
ABS,6
CEILING,6
COLUMN,5
ROW,5
NOW,5
COS,4
IRR,4
VALUE,4
MID,3
AVERAGEIFS,3
MROUND,2
EDATE,1
CONCATENATE,1
IFNA,1
ISNUMBER,1
FIND,1
