module_rel,kind,qualname,lineno,end_lineno
admin_panel.py,func,_dummy_add_company,112,112
admin_panel.py,func,_dummy_add_company_document,117,117
admin_panel.py,func,_dummy_add_product,105,105
admin_panel.py,func,_dummy_delete_company,115,115
admin_panel.py,func,_dummy_delete_company_document,119,119
admin_panel.py,func,_dummy_delete_product,107,107
admin_panel.py,func,_dummy_get_company_by_id,113,113
admin_panel.py,func,_dummy_get_product_by_id,108,108
admin_panel.py,func,_dummy_get_product_by_model_name,109,109
admin_panel.py,func,_dummy_list_companies,111,111
admin_panel.py,func,_dummy_list_company_documents,118,118
admin_panel.py,func,_dummy_list_product_categories,110,110
admin_panel.py,func,_dummy_list_products,104,104
admin_panel.py,func,_dummy_load_admin_setting,93,102
admin_panel.py,func,_dummy_parse_price_matrix_csv,120,122
admin_panel.py,func,_dummy_save_admin_setting,103,103
admin_panel.py,func,_dummy_set_default_company,116,116
admin_panel.py,func,_dummy_update_company,114,114
admin_panel.py,func,_dummy_update_product,106,106
admin_panel.py,func,get_text_local,153,157
admin_panel.py,func,manage_tariff_list_ui,1669,1686
admin_panel.py,func,manage_templates_local,1546,1641
admin_panel.py,func,parse_module_price_matrix_excel,159,200
admin_panel.py,func,render_admin_panel,1688,1800
admin_panel.py,func,render_advanced_settings,1460,1506
admin_panel.py,func,render_api_key_settings,1643,1667
admin_panel.py,func,render_company_crud_tab,202,512
admin_panel.py,func,render_company_image_templates_tab,1935,2054
admin_panel.py,func,render_company_text_templates_tab,1824,1933
admin_panel.py,func,render_general_settings_extended,1230,1301
admin_panel.py,func,render_pdf_design_settings,1508,1544
admin_panel.py,func,render_price_matrix,1303,1390
admin_panel.py,func,render_product_management,516,1219
admin_panel.py,func,render_tariff_management,1392,1430
admin_panel.py,func,render_visualization_settings,1432,1458
ai_companion.py,func,get_ai_companion_status,312,318
ai_companion.py,func,render_ai_companion,304,306
ai_companion.py,func,render_ai_status,308,310
ai_companion.py,class,DeepSeekCompanion,13,299
ai_companion.py,method,DeepSeekCompanion.__init__,16,20
ai_companion.py,method,DeepSeekCompanion.call_deepseek_api,64,127
ai_companion.py,method,DeepSeekCompanion.get_solar_context,38,62
ai_companion.py,method,DeepSeekCompanion.initialize_session_state,22,31
ai_companion.py,method,DeepSeekCompanion.process_message,282,290
ai_companion.py,method,DeepSeekCompanion.render_chat_interface,204,280
ai_companion.py,method,DeepSeekCompanion.render_companion_interface,148,202
ai_companion.py,method,DeepSeekCompanion.render_floating_window,129,146
ai_companion.py,method,DeepSeekCompanion.render_status_indicator,292,299
ai_companion.py,method,DeepSeekCompanion.set_api_key,33,36
analysis.py,func,_add_chart_controls,1931,2029
analysis.py,func,_apply_custom_style_to_fig,1698,1793
analysis.py,func,_apply_shadcn_like_theme,1859,1928
analysis.py,func,_create_chart_by_type,1313,1484
analysis.py,func,_create_cumulative_cashflow_chart,4688,4809
analysis.py,func,_create_electricity_cost_projection_chart,4563,4685
analysis.py,func,_create_kpi_card,1143,1145
analysis.py,func,_create_monthly_production_consumption_chart,4386,4560
analysis.py,func,_ensure_plotly_chart_unwrapped,145,160
analysis.py,func,_export_plotly_fig_to_bytes,1798,1830
analysis.py,func,_get_default_viz_settings,1148,1157
analysis.py,func,_get_visualization_settings,1173,1192
analysis.py,func,_render_consumption_coverage_pie,4812,4950
analysis.py,func,_render_energy_section,1021,1086
analysis.py,func,_render_environment_section,1095,1117
analysis.py,func,_render_financial_section,979,1019
analysis.py,func,_render_overview_section,579,977
analysis.py,func,_render_pv_usage_pie,4953,5106
analysis.py,func,_render_technical_section,1088,1093
analysis.py,func,_safe_viz_get,1689,1695
analysis.py,func,create_multi_series_2d_chart,1487,1686
analysis.py,func,create_universal_2d_chart,1198,1310
analysis.py,func,format_kpi_value,214,252
analysis.py,func,get_financing_data_summary,6630,6657
analysis.py,func,get_pricing_modifications_data,5109,5168
analysis.py,func,get_text,206,211
analysis.py,func,integrate_advanced_calculations,5171,5302
analysis.py,func,load_viz_settings,1160,1170
analysis.py,func,prepare_advanced_calculations_for_pdf_export,8365,8505
analysis.py,func,prepare_financing_data_for_pdf_export,6528,6627
analysis.py,func,render_advanced_calculations_section,8508,8544
analysis.py,func,render_advanced_comparison_analysis,8876,8987
analysis.py,func,render_advanced_economics,5306,5463
analysis.py,func,render_advanced_energy_analysis,8646,8737
analysis.py,func,render_advanced_environmental_analysis,8740,8815
analysis.py,func,render_advanced_financial_analysis,8547,8643
analysis.py,func,render_advanced_technical_analysis,8818,8873
analysis.py,func,render_analysis,6757,7587
analysis.py,func,render_co2_savings_value_switcher,3413,3550
analysis.py,func,render_cost_growth_switcher,3871,3943
analysis.py,func,render_daily_production_switcher,2032,2075
analysis.py,func,render_detailed_energy_analysis,5466,5637
analysis.py,func,render_environmental_calculations,6127,6297
analysis.py,func,render_extended_calculations_dashboard,2857,3399
analysis.py,func,render_feed_in_revenue_switcher,2307,2421
analysis.py,func,render_financial_scenarios,5902,6124
analysis.py,func,render_financing_analysis,7590,8362
analysis.py,func,render_income_projection_switcher,4317,4383
analysis.py,func,render_investment_value_switcher,3553,3657
analysis.py,func,render_optimization_suggestions,6300,6521
analysis.py,func,render_pricing_modifications_ui,6660,6752
analysis.py,func,render_production_vs_consumption_switcher,2424,2644
analysis.py,func,render_project_roi_matrix_switcher,2230,2304
analysis.py,func,render_roi_comparison_switcher,4051,4121
analysis.py,func,render_scenario_comparison_switcher,4124,4205
analysis.py,func,render_selfuse_ratio_switcher,3946,4048
analysis.py,func,render_selfuse_stack_switcher,3761,3868
analysis.py,func,render_storage_effect_switcher,3660,3758
analysis.py,func,render_tariff_comparison_switcher,4208,4314
analysis.py,func,render_tariff_cube_switcher,2647,2713
analysis.py,func,render_technical_calculations,5640,5899
analysis.py,func,render_weekly_production_switcher,2078,2127
analysis.py,func,render_yearly_production_switcher,2130,2227
analysis_utils.py,func,calculate_compound_growth,268,285
analysis_utils.py,func,calculate_percentage_change,171,185
analysis_utils.py,func,calculate_present_value,288,305
analysis_utils.py,func,create_comparison_metrics,337,375
analysis_utils.py,func,create_scenario_variations,242,265
analysis_utils.py,func,extract_numeric_value,308,334
analysis_utils.py,func,format_currency,35,62
analysis_utils.py,func,format_duration,112,137
analysis_utils.py,func,format_energy,65,92
analysis_utils.py,func,format_percentage,95,109
analysis_utils.py,func,generate_summary_statistics,378,416
analysis_utils.py,func,get_text,17,32
analysis_utils.py,func,interpolate_monthly_values,212,239
analysis_utils.py,func,safe_divide,188,209
analysis_utils.py,func,validate_numeric_input,140,168
app_status.py,func,add_error,11,15
calculations.py,func,Dummy_get_product_by_id_calc,185,186
calculations.py,func,Dummy_get_product_by_model_name_calc,189,190
calculations.py,func,Dummy_list_products_calc,181,182
calculations.py,func,Dummy_load_admin_setting_calc,41,178
calculations.py,func,_hash_bytes,248,256
calculations.py,func,_hash_text,258,266
calculations.py,func,calculate_offer_details,4197,4269
calculations.py,func,convert_orientation_to_pvgis_azimuth,2115,2151
calculations.py,func,format_kpi_value,2053,2112
calculations.py,func,get_pvgis_data,2154,2328
calculations.py,func,load_price_matrix_df_with_cache,268,309
calculations.py,func,parse_module_price_matrix_csv,312,423
calculations.py,func,parse_module_price_matrix_excel,426,480
calculations.py,func,perform_calculations,2331,3905
calculations.py,class,AdvancedCalculationsIntegrator,483,2048
calculations.py,class,BreakEvenAnalysis,3969,4038
calculations.py,class,EnergyPriceComparison,4041,4085
calculations.py,class,MaintenanceMonitoring,4146,4194
calculations.py,class,TechnicalDegradation,4088,4143
calculations.py,method,AdvancedCalculationsIntegrator.__init__,486,559
calculations.py,method,AdvancedCalculationsIntegrator._calculate_battery_cycles,685,713
calculations.py,method,AdvancedCalculationsIntegrator._calculate_carbon_footprint,828,862
calculations.py,method,AdvancedCalculationsIntegrator._calculate_degradation,561,584
calculations.py,method,AdvancedCalculationsIntegrator._calculate_dynamic_pricing,926,979
calculations.py,method,AdvancedCalculationsIntegrator._calculate_energy_independence,981,1038
calculations.py,method,AdvancedCalculationsIntegrator._calculate_grid_interaction,637,683
calculations.py,method,AdvancedCalculationsIntegrator._calculate_maintenance,760,826
calculations.py,method,AdvancedCalculationsIntegrator._calculate_peak_shaving,864,924
calculations.py,method,AdvancedCalculationsIntegrator._calculate_shading,586,635
calculations.py,method,AdvancedCalculationsIntegrator._calculate_weather_impact,715,758
calculations.py,method,AdvancedCalculationsIntegrator.calculate_detailed_co2_analysis,1841,1896
calculations.py,method,AdvancedCalculationsIntegrator.calculate_detailed_energy_flows,1344,1415
calculations.py,method,AdvancedCalculationsIntegrator.calculate_inverter_efficiency,1602,1676
calculations.py,method,AdvancedCalculationsIntegrator.calculate_irr_advanced,1310,1342
calculations.py,method,AdvancedCalculationsIntegrator.calculate_lcoe_advanced,1239,1292
calculations.py,method,AdvancedCalculationsIntegrator.calculate_load_profile_analysis,1417,1508
calculations.py,method,AdvancedCalculationsIntegrator.calculate_npv_sensitivity,1294,1308
calculations.py,method,AdvancedCalculationsIntegrator.calculate_optimization_impact,1986,2048
calculations.py,method,AdvancedCalculationsIntegrator.calculate_recycling_potential,1190,1237
calculations.py,method,AdvancedCalculationsIntegrator.calculate_shading_analysis,1510,1564
calculations.py,method,AdvancedCalculationsIntegrator.calculate_subsidy_scenarios,1742,1839
calculations.py,method,AdvancedCalculationsIntegrator.calculate_temperature_effects,1566,1600
calculations.py,method,AdvancedCalculationsIntegrator.generate_optimization_suggestions,1898,1984
calculations.py,method,AdvancedCalculationsIntegrator.run_monte_carlo_simulation,1678,1740
calculations.py,method,BreakEvenAnalysis.__init__,3972,3982
calculations.py,method,BreakEvenAnalysis.calculate_scenarios,3984,4038
calculations.py,method,EnergyPriceComparison.__init__,4044,4056
calculations.py,method,EnergyPriceComparison.compare_tariffs,4058,4085
calculations.py,method,MaintenanceMonitoring.__init__,4149,4151
calculations.py,method,MaintenanceMonitoring.generate_maintenance_schedule,4153,4194
calculations.py,method,TechnicalDegradation.__init__,4091,4101
calculations.py,method,TechnicalDegradation.calculate_degradation,4103,4143
calculations_extended.py,func,analyze_investment_scenarios,325,329
calculations_extended.py,func,analyze_risk,335,337
calculations_extended.py,func,calculate_alternative_investment_value,145,147
calculations_extended.py,func,calculate_annual_cost_savings,109,111
calculations_extended.py,func,calculate_annual_energy_yield,85,87
calculations_extended.py,func,calculate_annual_equity_return,386,389
calculations_extended.py,func,calculate_area_specific_yield,208,211
calculations_extended.py,func,calculate_autarky_degree,99,102
calculations_extended.py,func,calculate_battery_lifespan_years,308,311
calculations_extended.py,func,calculate_break_even_year,172,175
calculations_extended.py,func,calculate_co2_avoidance_per_year,360,362
calculations_extended.py,func,calculate_co2_payback_time,371,376
calculations_extended.py,func,calculate_co2_savings,121,123
calculations_extended.py,func,calculate_costs_after_funding,283,285
calculations_extended.py,func,calculate_cumulative_co2_savings,317,319
calculations_extended.py,func,calculate_cumulative_savings,149,151
calculations_extended.py,func,calculate_dc_ac_oversizing_factor,224,227
calculations_extended.py,func,calculate_degradation_yield,233,235
calculations_extended.py,func,calculate_dynamic_payback_period,36,49
calculations_extended.py,func,calculate_effective_pv_electricity_price,125,128
calculations_extended.py,func,calculate_emergency_power_capacity,304,306
calculations_extended.py,func,calculate_energy_payback_time,365,368
calculations_extended.py,func,calculate_feed_in_tariff_revenue,113,115
calculations_extended.py,func,calculate_grid_connection_costs,287,289
calculations_extended.py,func,calculate_internal_rate_of_return,58,65
calculations_extended.py,func,calculate_irr,138,143
calculations_extended.py,func,calculate_lcoe,350,357
calculations_extended.py,func,calculate_linear_depreciation,278,281
calculations_extended.py,func,calculate_load_shifting_potential,254,256
calculations_extended.py,func,calculate_net_present_value,52,55
calculations_extended.py,func,calculate_npv,132,136
calculations_extended.py,func,calculate_optimal_storage_size,249,252
calculations_extended.py,func,calculate_payback_period,104,107
calculations_extended.py,func,calculate_peak_shaving_effect,339,341
calculations_extended.py,func,calculate_performance_ratio,190,201
calculations_extended.py,func,calculate_plant_expansion,331,333
calculations_extended.py,func,calculate_power_after_degradation,158,160
calculations_extended.py,func,calculate_profit_after_x_years,392,394
calculations_extended.py,func,calculate_profitability_index,343,347
calculations_extended.py,func,calculate_pv_coverage_for_heatpump,258,261
calculations_extended.py,func,calculate_pv_module_efficiency,213,217
calculations_extended.py,func,calculate_residual_value,274,276
calculations_extended.py,func,calculate_roe,263,266
calculations_extended.py,func,calculate_roof_usage,166,170
