module_rel,kind,qualname,lineno,end_lineno
add_test_product_images.py,func,add_test_images_to_products,32,64
add_test_product_images.py,func,create_simple_svg_image,18,30
add_test_product_images.py,func,create_test_image_base64,12,16
add_test_product_images.py,func,verify_images,66,93
admin_logo_management_ui.py,func,convert_uploaded_file_to_base64,72,81
admin_logo_management_ui.py,func,display_logo_preview,83,107
admin_logo_management_ui.py,func,get_unique_brands_from_products,37,52
admin_logo_management_ui.py,func,render_logo_edit_section,288,319
admin_logo_management_ui.py,func,render_logo_management_section,205,286
admin_logo_management_ui.py,func,render_logo_management_ui,321,339
admin_logo_management_ui.py,func,render_logo_positions_tab,341,354
admin_logo_management_ui.py,func,render_logo_statistics_section,356,395
admin_logo_management_ui.py,func,render_logo_upload_section,109,203
admin_logo_management_ui.py,func,validate_image_file,54,70
admin_logo_positions_ui.py,func,render_logo_position_settings,36,192
admin_logo_positions_ui.py,func,render_logo_position_test,194,216
admin_panel.py,func,_dummy_add_company,112,112
admin_panel.py,func,_dummy_add_company_document,117,117
admin_panel.py,func,_dummy_add_product,105,105
admin_panel.py,func,_dummy_delete_company,115,115
admin_panel.py,func,_dummy_delete_company_document,119,119
admin_panel.py,func,_dummy_delete_product,107,107
admin_panel.py,func,_dummy_get_company_by_id,113,113
admin_panel.py,func,_dummy_get_product_by_id,108,108
admin_panel.py,func,_dummy_get_product_by_model_name,109,109
admin_panel.py,func,_dummy_list_companies,111,111
admin_panel.py,func,_dummy_list_company_documents,118,118
admin_panel.py,func,_dummy_list_product_categories,110,110
admin_panel.py,func,_dummy_list_products,104,104
admin_panel.py,func,_dummy_load_admin_setting,93,102
admin_panel.py,func,_dummy_parse_price_matrix_csv,120,122
admin_panel.py,func,_dummy_save_admin_setting,103,103
admin_panel.py,func,_dummy_set_default_company,116,116
admin_panel.py,func,_dummy_update_company,114,114
admin_panel.py,func,_dummy_update_product,106,106
admin_panel.py,func,get_text_local,153,157
admin_panel.py,func,manage_tariff_list_ui,1702,1719
admin_panel.py,func,manage_templates_local,1579,1674
admin_panel.py,func,parse_module_price_matrix_excel,159,200
admin_panel.py,func,render_admin_panel,1721,1834
admin_panel.py,func,render_advanced_settings,1493,1539
admin_panel.py,func,render_api_key_settings,1676,1700
admin_panel.py,func,render_company_crud_tab,202,512
admin_panel.py,func,render_company_image_templates_tab,1981,2100
admin_panel.py,func,render_company_text_templates_tab,1870,1979
admin_panel.py,func,render_general_settings_extended,1263,1334
admin_panel.py,func,render_logo_management_tab,1853,1863
admin_panel.py,func,render_pdf_design_settings,1541,1577
admin_panel.py,func,render_price_matrix,1336,1423
admin_panel.py,func,render_product_management,516,1252
admin_panel.py,func,render_tariff_management,1425,1463
admin_panel.py,func,render_visualization_settings,1465,1491
ai_companion.py,func,get_ai_companion_status,312,318
ai_companion.py,func,render_ai_companion,304,306
ai_companion.py,func,render_ai_status,308,310
ai_companion.py,class,DeepSeekCompanion,13,299
ai_companion.py,method,DeepSeekCompanion.__init__,16,20
ai_companion.py,method,DeepSeekCompanion.call_deepseek_api,64,127
ai_companion.py,method,DeepSeekCompanion.get_solar_context,38,62
ai_companion.py,method,DeepSeekCompanion.initialize_session_state,22,31
ai_companion.py,method,DeepSeekCompanion.process_message,282,290
ai_companion.py,method,DeepSeekCompanion.render_chat_interface,204,280
ai_companion.py,method,DeepSeekCompanion.render_companion_interface,148,202
ai_companion.py,method,DeepSeekCompanion.render_floating_window,129,146
ai_companion.py,method,DeepSeekCompanion.render_status_indicator,292,299
ai_companion.py,method,DeepSeekCompanion.set_api_key,33,36
analysis.py,func,_add_chart_controls,1924,2022
analysis.py,func,_apply_custom_style_to_fig,1601,1696
analysis.py,func,_apply_shadcn_like_theme,1763,1832
analysis.py,func,_compute_annual_cost_series,1905,1921
analysis.py,func,_create_chart_by_type,1129,1300
analysis.py,func,_create_cumulative_cashflow_chart,4806,4927
analysis.py,func,_create_electricity_cost_projection_chart,4681,4803
analysis.py,func,_create_kpi_card,959,961
analysis.py,func,_create_monthly_production_consumption_chart,4504,4678
analysis.py,func,_ensure_plotly_chart_unwrapped,145,160
analysis.py,func,_export_plotly_fig_to_bytes,1701,1733
analysis.py,func,_get_baseline_annual_costs_without_pv,1835,1903
analysis.py,func,_get_default_viz_settings,964,973
analysis.py,func,_get_visualization_settings,989,1008
analysis.py,func,_render_consumption_coverage_pie,4930,5065
analysis.py,func,_render_energy_section,837,902
analysis.py,func,_render_environment_section,911,933
analysis.py,func,_render_financial_section,795,835
analysis.py,func,_render_overview_section,338,793
analysis.py,func,_render_pv_usage_pie,5068,5215
analysis.py,func,_render_technical_section,904,909
analysis.py,func,_safe_viz_get,1592,1598
analysis.py,func,create_four_type_chart,1303,1360
analysis.py,func,create_multi_series_2d_chart,1363,1589
analysis.py,func,create_universal_2d_chart,1014,1126
analysis.py,func,format_kpi_value,214,252
analysis.py,func,get_financing_data_summary,6739,6766
analysis.py,func,get_pricing_modifications_data,5218,5277
analysis.py,func,get_text,206,211
analysis.py,func,integrate_advanced_calculations,5280,5411
analysis.py,func,load_viz_settings,976,986
analysis.py,func,prepare_advanced_calculations_for_pdf_export,8594,8734
analysis.py,func,prepare_financing_data_for_pdf_export,6637,6736
analysis.py,func,render_advanced_calculations_section,8737,8773
analysis.py,func,render_advanced_comparison_analysis,9105,9216
analysis.py,func,render_advanced_economics,5415,5572
analysis.py,func,render_advanced_energy_analysis,8875,8966
analysis.py,func,render_advanced_environmental_analysis,8969,9044
analysis.py,func,render_advanced_financial_analysis,8776,8872
analysis.py,func,render_advanced_technical_analysis,9047,9102
analysis.py,func,render_analysis,6866,7816
analysis.py,func,render_co2_savings_value_switcher,3527,3665
analysis.py,func,render_cost_growth_switcher,3987,4060
analysis.py,func,render_daily_production_switcher,2024,2095
analysis.py,func,render_detailed_energy_analysis,5575,5746
analysis.py,func,render_environmental_calculations,6236,6406
analysis.py,func,render_extended_calculations_dashboard,2958,3513
analysis.py,func,render_feed_in_revenue_switcher,2372,2486
analysis.py,func,render_financial_scenarios,6011,6233
analysis.py,func,render_financing_analysis,7819,8591
analysis.py,func,render_income_projection_switcher,4434,4501
analysis.py,func,render_investment_value_switcher,3668,3773
analysis.py,func,render_optimization_suggestions,6409,6630
analysis.py,func,render_pricing_modifications_ui,6769,6861
analysis.py,func,render_production_vs_consumption_switcher,2489,2713
analysis.py,func,render_project_roi_matrix_switcher,2295,2369
analysis.py,func,render_roi_comparison_switcher,4167,4238
analysis.py,func,render_scenario_comparison_switcher,4241,4321
analysis.py,func,render_selfuse_ratio_switcher,4063,4164
analysis.py,func,render_selfuse_stack_switcher,3878,3984
analysis.py,func,render_storage_effect_switcher,3776,3875
analysis.py,func,render_tariff_comparison_switcher,4324,4431
analysis.py,func,render_tariff_cube_switcher,2715,2812
analysis.py,func,render_technical_calculations,5749,6008
analysis.py,func,render_weekly_production_switcher,2143,2192
analysis.py,func,render_yearly_production_switcher,2195,2292
analysis_utils.py,func,calculate_compound_growth,268,285
analysis_utils.py,func,calculate_percentage_change,171,185
analysis_utils.py,func,calculate_present_value,288,305
analysis_utils.py,func,create_comparison_metrics,337,375
analysis_utils.py,func,create_scenario_variations,242,265
analysis_utils.py,func,extract_numeric_value,308,334
analysis_utils.py,func,format_currency,35,62
analysis_utils.py,func,format_duration,112,137
analysis_utils.py,func,format_energy,65,92
analysis_utils.py,func,format_percentage,95,109
analysis_utils.py,func,generate_summary_statistics,378,416
analysis_utils.py,func,get_text,17,32
analysis_utils.py,func,interpolate_monthly_values,212,239
analysis_utils.py,func,safe_divide,188,209
analysis_utils.py,func,validate_numeric_input,140,168
app_status.py,func,add_error,11,15
brand_logo_db.py,func,add_brand_logo,42,93
brand_logo_db.py,func,create_brand_logos_table,20,40
brand_logo_db.py,func,deactivate_brand_logo,339,369
brand_logo_db.py,func,delete_brand_logo,189,215
brand_logo_db.py,func,get_brand_logo,95,139
brand_logo_db.py,func,get_logos_for_brands,288,337
brand_logo_db.py,func,list_all_brand_logos,141,187
brand_logo_db.py,func,update_logo_position,246,286
brand_logo_db.py,func,upload_logo_from_file,217,244
calculations.py,func,Dummy_get_product_by_id_calc,185,186
calculations.py,func,Dummy_get_product_by_model_name_calc,189,190
calculations.py,func,Dummy_list_products_calc,181,182
calculations.py,func,Dummy_load_admin_setting_calc,41,178
calculations.py,func,_hash_bytes,248,256
calculations.py,func,_hash_text,258,266
calculations.py,func,calculate_offer_details,4197,4269
calculations.py,func,convert_orientation_to_pvgis_azimuth,2115,2151
calculations.py,func,format_kpi_value,2053,2112
calculations.py,func,get_pvgis_data,2154,2328
calculations.py,func,load_price_matrix_df_with_cache,268,309
calculations.py,func,parse_module_price_matrix_csv,312,423
calculations.py,func,parse_module_price_matrix_excel,426,480
calculations.py,func,perform_calculations,2331,3905
calculations.py,class,AdvancedCalculationsIntegrator,483,2048
calculations.py,class,BreakEvenAnalysis,3969,4038
calculations.py,class,EnergyPriceComparison,4041,4085
calculations.py,class,MaintenanceMonitoring,4146,4194
calculations.py,class,TechnicalDegradation,4088,4143
calculations.py,method,AdvancedCalculationsIntegrator.__init__,486,559
calculations.py,method,AdvancedCalculationsIntegrator._calculate_battery_cycles,685,713
calculations.py,method,AdvancedCalculationsIntegrator._calculate_carbon_footprint,828,862
calculations.py,method,AdvancedCalculationsIntegrator._calculate_degradation,561,584
calculations.py,method,AdvancedCalculationsIntegrator._calculate_dynamic_pricing,926,979
calculations.py,method,AdvancedCalculationsIntegrator._calculate_energy_independence,981,1038
calculations.py,method,AdvancedCalculationsIntegrator._calculate_grid_interaction,637,683
calculations.py,method,AdvancedCalculationsIntegrator._calculate_maintenance,760,826
calculations.py,method,AdvancedCalculationsIntegrator._calculate_peak_shaving,864,924
calculations.py,method,AdvancedCalculationsIntegrator._calculate_shading,586,635
calculations.py,method,AdvancedCalculationsIntegrator._calculate_weather_impact,715,758
calculations.py,method,AdvancedCalculationsIntegrator.calculate_detailed_co2_analysis,1841,1896
calculations.py,method,AdvancedCalculationsIntegrator.calculate_detailed_energy_flows,1344,1415
calculations.py,method,AdvancedCalculationsIntegrator.calculate_inverter_efficiency,1602,1676
calculations.py,method,AdvancedCalculationsIntegrator.calculate_irr_advanced,1310,1342
calculations.py,method,AdvancedCalculationsIntegrator.calculate_lcoe_advanced,1239,1292
calculations.py,method,AdvancedCalculationsIntegrator.calculate_load_profile_analysis,1417,1508
calculations.py,method,AdvancedCalculationsIntegrator.calculate_npv_sensitivity,1294,1308
calculations.py,method,AdvancedCalculationsIntegrator.calculate_optimization_impact,1986,2048
calculations.py,method,AdvancedCalculationsIntegrator.calculate_recycling_potential,1190,1237
